,Bike#,start_ts,end_ts,Latitude,Longitude,Latitude_end,Longitude_end,Start Station,End Station,Start terminal,End terminal
262,N01697,2013-07-28 21:11:00,2013-07-28 21:16:00,45.002448,-93.30585699999999,45.013318,-93.30779799999999,West Broadway & Logan Ave N,Lowry Ave N & Penn Ave,30070,30072.0
263,N01697,2013-07-10 18:04:00,2013-07-10 18:23:00,44.972217,-93.27643499999999,44.941388,-93.29863399999999,YWCA Downtown,West 34th Street  & Hennepin Ave S,30006,30073.0
264,N01697,2013-07-28 19:38:00,2013-07-28 19:56:00,44.929359999999996,-93.30713,44.941388,-93.29863399999999,Lake Harriet Bandshell,West 34th Street  & Hennepin Ave S,30157,30073.0
265,N01697,2013-10-13 17:45:00,2013-10-13 17:57:00,44.973440000000004,-93.24748000000001,44.972590000000004,-93.218919,Washington & Cedar,27th Ave SE & University Ave.,30015,30074.0
266,N01697,2013-07-28 17:16:00,2013-07-28 17:19:00,44.97202,-93.22697,44.972590000000004,-93.218919,Oak Street Ramp,27th Ave SE & University Ave.,30034,30074.0
267,N01697,2013-07-28 18:01:00,2013-07-28 18:05:00,44.963549,-93.19590600000001,44.966159999999995,-93.20525,Carleton Street & University Ave ,Curfew Street & Ellis Ave.,30076,30075.0
268,N01697,2013-07-28 17:48:00,2013-07-28 18:01:00,44.980558,-93.181384,44.963549,-93.19590600000001,U of M St. Paul Campus,Carleton Street & University Ave ,30115,30076.0
269,N01697,2013-07-28 18:28:00,2013-07-28 18:31:00,44.947328999999996,-93.233092,44.94823,-93.24054,27th Ave S & East Lake Street,Midtown YWCA,30161,30080.0
270,N01697,2013-07-28 18:19:00,2013-07-28 18:24:00,44.948452,-93.20620100000001,44.94826,-93.22106,Lake Street & West River Parkway,East Lake Street & 36th Ave S,30147,30081.0
271,N01697,2013-07-28 10:51:00,2013-07-28 10:53:00,44.940218,-93.17022,44.940513,-93.177093,Macalester College,Grand Ave & Fairview Ave,30086,30085.0
272,N01697,2013-07-28 10:45:00,2013-07-28 10:50:00,44.94016,-93.1529,44.940218,-93.17022,Kowalski's Market,Macalester College,30099,30086.0
273,N01697,2013-07-28 14:47:00,2013-07-28 14:49:00,44.97265,-93.26872,44.96954,-93.2669,9th Street & 4th Ave.,Grant Street & Portland Ave,30007,30087.0
274,N01697,2013-09-03 17:54:00,2013-09-03 18:00:00,44.97265,-93.27405,44.96954,-93.2669,11th Street & Marquette,Grant Street & Portland Ave,30040,30087.0
275,N01697,2013-04-26 16:22:00,2013-04-26 16:28:00,44.97497,-93.266684,44.96954,-93.2669,7th Street & 4th Ave. S,Grant Street & Portland Ave,30051,30087.0
276,N01697,2013-07-08 10:38:00,2013-07-08 10:52:00,44.984390000000005,-93.277316,44.96954,-93.2669,5th Ave N & 4th Street N,Grant Street & Portland Ave,30056,30087.0
277,N01697,2013-07-28 16:50:00,2013-07-28 16:53:00,44.984891999999995,-93.256551,44.983281,-93.24812,100 Main Street SE,6th Ave. SE & University Ave.,30000,30088.0
278,N01697,2013-06-14 15:39:00,2013-06-14 15:46:00,44.977406,-93.234911,44.983281,-93.24812,Williamson Hall,6th Ave. SE & University Ave.,30025,30088.0
279,N01697,2013-06-02 21:13:00,2013-06-02 21:27:00,44.97202,-93.22697,44.983281,-93.24812,Oak Street Ramp,6th Ave. SE & University Ave.,30034,30088.0
280,N01697,2013-10-20 02:09:00,2013-10-20 02:16:00,44.974909999999994,-93.26078000000001,44.983281,-93.24812,Park Ave. S & 5th Street,6th Ave. SE & University Ave.,30039,30088.0
281,N01697,2013-06-02 19:31:00,2013-06-02 19:35:00,44.98717,-93.25576,44.983281,-93.24812,University & Bank Street SE,6th Ave. SE & University Ave.,30047,30088.0
282,N01697,2013-05-07 13:55:00,2013-05-07 14:14:00,44.9807,-93.30441,44.983281,-93.24812,Glenwood Ave & N Morgan Ave.,6th Ave. SE & University Ave.,30059,30088.0
283,N01697,2013-05-06 18:40:00,2013-05-06 18:53:00,44.989166,-93.27651,44.983281,-93.24812,2nd Street N & 8th Ave. N,6th Ave. SE & University Ave.,30092,30088.0
284,N01697,2013-06-29 14:56:00,2013-06-29 15:22:00,44.94964,-93.28827,44.94885,-93.31759,Lake Street & Lyndale,Lake Calhoun Center,30013,30089.0
